question,answer
What is the point value for each project report?,40 points
What is the total point value for exercises?,210 points
How many exercises are there in the course?,7 exercises
What is the point value for each exercise?,30 points
How many reports are required?,2 reports
What is the point value for each report?,40 points
How many group projects are there?,1 group project with multiple components
What is the point value for the group project proposal?,80 points
What is the point value for the group project presentation?,80 points
What is the point value for the group project results report?,80 points
What is the total point value for all graded work?,1000 points
What grade corresponds to a score of 900-1000 points?,A (90% - 100%)
What grade corresponds to a score of 800-899 points?,B (80% - 89%)
What grade corresponds to a score of 700-799 points?,C (70% - 79%)
What grade corresponds to a score below 699 points?,F (Below 69%)
What topics are covered in Week 1?,"Introductions, GitHub Repo Exercise, Document Development Environment Setup Exercise"
What are the readings for Week 2?,"Chapters 2 and 3, Journal Articles"
What is the focus of Week 3?,"Prototype Simple Traditional Chatbot, Integrate Traditional Chatbot with AI Service"
What are the Week 4 assignments?,"Design a Conversational Agent, User-Centric Design Principles, Group Project Proposal"
What topics are covered in Week 5?,"Evaluating User-Friendliness of an Application, Chatbots compared to Virtual Assistants, Practical Connection Assignment"
What project is due in Week 6?,Recommendation System using AI/HCI
What ethical challenges are identified in Week 6?,Ethical Challenges During AI/HCI Design
What is the focus of Week 7?,"Adaptive UI using AI/HCI, Accessibility Guidelines, Group Project Design Documentation, Group Project Source Code in GitHub"
What are the Week 8 assignments?,"Bias in AI/HCI Interfaces Report, Group Project Presentation, Group Project Results, Reflections Discussion"
What disclaimer is included in the syllabus?,The syllabus contains important information critical to success in the course and may be adjusted or changed by the instructor as needed.
How will changes to the syllabus be communicated?,They will be discussed with the students.
What is the main focus of the course?,The convergence of AI and HCI and how they revolutionize interaction with machines and systems.
What will students learn about AI-powered natural language interfaces?,"Creating conversational agents, chatbots, and voice-driven applications."
What strategies will students propose for ethical challenges in AI-powered interfaces?,"Addressing concerns such as bias, privacy, transparency, and accountability."
What are the office hours for the instructor?,By appointment
What is the significance of user-centered design principles in the course?,"To design and develop intuitive, user-friendly interfaces catering to diverse user needs and preferences."
What is the role of machine learning techniques in the course?,To create real-time interfaces that adapt to user interactions and preferences.
What practical experience will students gain in the course?,"Designing, prototyping, and evaluating AI-driven interactive systems through hands-on projects."
How will usability testing be applied in the course?,Through iterative design to refine and optimize the user experience.
What are the main components of the academic dishonesty policy?,"Cheating, lying, plagiarism, and multiple submissions."
What is the potential penalty for academic dishonesty?,"Failing grade on the assignment or course, suspension, expulsion, or revocation of a degree."
What are students expected to do with their University email accounts?,Monitor frequently for important information and correspondence.
How should students present their written work?,In an academic and professional manner.
What is the grading scale for an 'A'?,900 â€“ 1000 points (90% - 100%)
What is the grading scale for a 'B'?,800 â€“ 899 points (80% - 89%)
What is the grading scale for a 'C'?,700 â€“ 799 points (70% - 79%)
What is the grading scale for an 'F'?,Below 699 points (Below 69%)
What is the first week's exercise?,GitHub Repo Exercise and Document Development Environment Setup Exercise
What is the focus of Week 2?,"AI and HCI Interactions and Synergies, Design Thinking in HCI/AI"
What is the topic of the Group Project in Week 3?,Prototype Simple Traditional Chatbot and Integrate Traditional Chatbot with AI Service
What are the Week 4 group project components?,"Design a Conversational Agent, User-Centric Design Principles, and Group Project Proposal"
What is the main focus of Week 5?,"Evaluating User-Friendliness of an Application, Chatbots compared to Virtual Assistants, and Practical Connection Assignment"
What is the main project in Week 6?,Recommendation System using AI/HCI
What are students expected to identify in Week 6?,Ethical Challenges During AI/HCI Design
What is the focus of Week 7?,"Adaptive UI using AI/HCI, Accessibility Guidelines, Group Project Design Documentation, and Group Project Source Code in GitHub"
What are the Week 8 assignments?,"Bias in AI/HCI Interfaces Report, Group Project Presentation, Group Project Results, and Reflections Discussion"
What are the main learning outcomes for analyzing AI and HCI interactions?,Understanding how AI and HCI integration shapes modern interactive systems and user experiences.
What are students expected to evaluate in terms of user-centric design principles?,"The effectiveness and application of user-centered design principles, usability heuristics, and accessibility guidelines."
What kind of system will students create using AI and HCI concepts?,A recommendation system
What NLP concepts will students apply in the course?,Tokenization in an NLP-based chatbot
How will students integrate AI services in their projects?,By creating an intelligent chatbot and integrating it with AI-as-a-Service offerings such as Azure Cognitive Services.
What kind of report is due in Week 8?,Bias in AI/HCI Interfaces Report
What kind of feedback is valued in course evaluations?,Thoughtful responses that guide future improvements for the course and programs.
How can students access Office 365 Pro Plus?,Follow the instructions at https://helpdesk.ucumberlands.edu/support/solutions/articles/7000045435
What is the UC Directory URL for the instructor?,https://www.ucumberlands.edu/directory/dr-alan-l-dennis
What is the participation requirement for the course?,"Active participation in intelligent discussions of assigned topics in all areas, such as Discussion Board Activities, Synchronous Sessions, Forums, Shared Papers, etc."
"What are students expected to use for all academic, administrative, and co-curricular communication?",University of the Cumberlands email system (Webmail)
How should students engage with course content?,"By participating in activities, assignments, and discussions and evaluating peers' work constructively."
What should students do if they have questions or concerns?,Contact faculty or student success coordinator
What is the policy on taking examinations?,Students should take examinations on the designated dates and make arrangements with faculty before the designated date if needed.
How are students expected to present written work?,In an academic and professional manner
"What is the importance of spelling, grammar, punctuation, and diction in written work?",They are tools of the craft of writing and essential for collegiate level work.
What will happen to work that does not exhibit care in writing?,It will be graded as inadequate for college writing.
What is the UC Academic Catalog URL?,https://www.ucumberlands.edu/academics/academic-catalog
What is the UC Student Handbook URL?,https://www.ucumberlands.edu/student-handbook
What is the UC Learning Commons URL?,http://www.ucumberlands.edu/learningcommons
What is the UC Library URL?,http://www.ucumberlands.edu/library/
What is the UC Bookstore URL?,https://cumber.bncollege.com/shop/cumberlands/home
What is the President's Welcome URL?,https://www.ucumberlands.edu/about/presidents-welcome
What is the email for accommodations inquiries?,accommodations@ucumberlands.edu
Who should students contact for disability services?,"Shirley Stephens, Disability Services Coordinator"
What are the specific assignments for Week 1?,"Introductions Discussion, GitHub Repo Exercise, Document Development Environment Setup Exercise"
What is the practical connection assignment about?,Reflecting on course concepts and their practical connection to a working environment.
What is the focus of the group project in Week 4?,Design a Conversational Agent and User-Centric Design Principles
How are students expected to evaluate user-friendliness in Week 5?,By evaluating the user-friendliness of an application and comparing chatbots to virtual assistants.
What is the main project due in Week 6?,A recommendation system using AI and HCI concepts
What ethical challenges are discussed in Week 6?,Identifying ethical challenges during AI and HCI design
What are the Week 7 assignments about?,"Adaptive UI using AI and HCI, Accessibility Guidelines, Group Project Design Documentation, Group Project Source Code in GitHub"
What kind of report is due in Week 8?,Bias in AI/HCI Interfaces Report
What is the point value of the group project proposal?,80 points
How many points are each exercise worth?,30 points
How many project reports are required?,6 project reports
What is the point value of each project report?,40 points
What are the learning outcomes related to creating usability heuristics?,Creating and discussing usability heuristics
What will students learn about accessibility guidelines?,"Evaluating their importance, including legal and ethical implications"
What will students analyze regarding user-centric design principles?,The effectiveness and application in creating user-friendly interfaces
How will AI techniques be used to improve user experience?,By applying approaches to using AI techniques in interactive systems
What is prompt engineering?,Creating effective prompts for AI models
What is an alternative approach to hard prompts in AI?,Using dynamic and adaptive prompts
What is an intelligent chatbot?,A chatbot integrated with AI-as-a-Service offerings
How can students access the course website?,Via the iLearn portal on the University of the Cumberlands website
"What is the publication date of the required book ""Human-Centered AI""?","January 1, 2022"
What is the role of the UC Directory URL?,To provide contact information for the instructor
What kind of exercises will students do in the course?,Practical exercises related to course topics
What is the focus of the first week's assignments?,Introduction to the course and setting up the development environment
How will students demonstrate proficiency in machine learning techniques?,By creating real-time interfaces that adapt to user interactions and preferences
What are the key ethical challenges in AI-powered interfaces?,"Bias, privacy, transparency, and accountability"
What strategies will students propose for ethical challenges?,Addressing concerns while designing HCI solutions
How will students gain practical experience in the course?,Through hands-on projects and usability testing
What is the main outcome of Week 3's project?,Integrating a traditional chatbot with an AI service
What is the main focus of Week 5's assignments?,Evaluating user-friendliness and comparing chatbots to virtual assistants
What is the significance of user-centered design principles in the course?,"Designing intuitive, user-friendly interfaces"
What are students expected to do with their University email accounts?,Monitor frequently for important information and correspondence
"What is the importance of spelling, grammar, punctuation, and diction in written work?",They are tools of the craft of writing and essential for collegiate level work
How should students engage with course content?,"By participating in activities, assignments, and discussions and evaluating peers' work constructively"
What are students expected to identify in Week 6?,Ethical challenges during AI and HCI design
What is the focus of Week 7's assignments?,"Adaptive UI using AI and HCI, Accessibility Guidelines, Group Project Design Documentation, Group Project Source Code in GitHub"
What kind of report is due in Week 8?,Bias in AI/HCI Interfaces Report
How will usability testing be applied in the course?,Through iterative design to refine and optimize the user experience
What are the main components of the academic dishonesty policy?,"Cheating, lying, plagiarism, and multiple submissions"
What is the role of the Disability Services Coordinator?,To discuss and approve accommodations for students with certified disabilities
